[0000] 바람처럼날쌔게…//⁣⁣⁣
[0001] 지금은이명령을내리자⁣⁣
[0002] 화조전원통달!//「풍」⁣
[0003] 숲처럼고요하게…//⁣⁣⁣
[0004] 지금은이명령을내리자⁣⁣
[0005] 화조전원통달!//「림」⁣
[0006] 불꽃처럼뜨겁게…⁣⁣⁣⁣
[0007] 지금은이명령을내리자⁣⁣
[0008] 화조전원통달!//「화」⁣
[0009] 산처럼흔들림없이…⁣⁣⁣
[0010] 지금은이명령을내리자⁣⁣
[0011] 화조전원통달!//「산」⁣
[0012] 지금아무도//지킬필요는⁣
[0013] 사쿠라군…//넌내가⁣⁣⁣
[0014] 스미레군…//네방패가⁣⁣
[0015] 마리아…//네등을지켜⁣⁣
[0016] 칸나…//난널전력으로⁣⁣
[0017] 아이리스…//내가곁에있어
[0018] 홍란…//언제든널⁣⁣⁣⁣
[0019] 오리히메군…//힘들때는⁣
[0020] 레니…//가끔은…//지켜⁣
[0021] 에리카군…//어떤실수라도
[0022] 글리신…//민폐일지도⁣⁣
[0023] 코쿠리코…//위기일땐⁣⁣
[0024] 로벨리아…//너에게도⁣⁣
[0025] 하나비군…//쓰러질듯하면
